,Years,"Male General Marriage Rate * (Per 1,000 Unmarried Resident Males Aged 15-49)","15 - 19 Years (Per 1,000 Unmarried Resident Males)","20 - 24 Years (Per 1,000 Unmarried Resident Males)","25 - 29 Years (Per 1,000 Unmarried Resident Males)","30 - 34 Years (Per 1,000 Unmarried Resident Males)","35 - 39 Years (Per 1,000 Unmarried Resident Males)","Female General Marriage Rate * (Per 1,000 Unmarried Resident Females Aged 15-49)","15 - 19 Years (Per 1,000 Unmarried Resident Females)","20 - 24 Years (Per 1,000 Unmarried Resident Females)","25 - 29 Years (Per 1,000 Unmarried Resident Females)","30 - 34 Years (Per 1,000 Unmarried Resident Females)","35 - 39 Years (Per 1,000 Unmarried Resident Females)"
19,2003,44.9,1.2,18.7,96.2,107.4,64.4,43.7,5.3,45.9,126.0,75.1,29.2
20,2002,47.5,1.5,20.5,101.1,104.4,70.7,45.8,6.3,50.1,125.6,75.2,32.9
21,2001,46.7,1.8,22.0,98.5,104.3,73.3,44.1,6.9,51.5,122.8,70.2,33.4
22,2000,47.4,1.7,23.7,104.0,98.3,64.5,46.8,7.4,54.3,133.0,69.8,32.4
23,1999,54.7,1.4,28.8,118.3,110.2,71.1,54.8,7.2,66.3,151.0,84.8,38.4
24,1998,49.4,1.3,26.9,100.5,101.5,67.2,47.9,7.6,58.7,123.9,70.5,34.6
25,1997,56.7,1.2,33.2,119.1,110.7,77.2,58.4,6.6,75.2,149.1,82.2,40.1
26,1996,53.2,1.5,28.0,110.1,113.4,72.2,52.6,7.0,65.4,137.3,74.0,35.7
27,1995,54.6,1.2,29.3,113.1,108.0,70.8,54.9,7.5,70.1,135.7,76.5,37.3
28,1994,54.7,1.4,29.5,107.9,110.7,77.9,56.1,7.9,71.0,134.2,77.6,38.8
29,1993,55.3,1.6,29.4,108.3,106.1,78.5,57.4,8.8,72.0,132.8,74.5,38.3
30,1992,56.7,1.3,32.5,113.7,108.9,79.5,59.0,10.1,78.8,133.5,74.4,36.7
31,1991,55.5,1.4,35.4,109.4,107.6,77.5,61.5,10.8,84.7,138.0,76.4,37.4
32,1990,52.2,1.2,35.1,107.6,96.4,68.5,59.2,11.0,84.8,133.0,69.1,36.6
33,1989,52.6,1.0,37.9,100.7,100.4,75.1,60.1,10.7,88.5,114.4,76.7,35.8
34,1988,56.0,0.8,38.8,112.1,111.7,77.1,65.3,10.8,94.6,130.2,76.7,38.1
35,1987,53.3,1.0,37.9,104.1,107.8,87.7,62.3,11.9,87.9,124.3,74.3,37.8
36,1986,45.6,1.0,35.8,87.3,92.5,70.4,52.6,12.4,77.5,94.1,59.2,31.9
37,1985,54.3,1.2,43.8,110.3,109.8,83.2,62.5,15.2,95.5,111.8,62.6,33.4
38,1984,57.7,1.5,44.7,122.2,130.7,103.3,66.3,15.6,101.6,124.3,68.1,41.3
39,1983,46.9,1.4,38.8,104.9,112.1,84.8,56.4,15.7,85.1,104.5,63.6,36.8
40,1982,54.5,1.6,46.0,126.3,131.2,122.2,63.9,17.2,100.4,119.5,75.9,47.8
41,1981,58.4,1.6,51.8,138.0,143.8,123.3,68.7,17.8,109.5,139.7,77.7,50.1
42,1980,54.9,1.7,49.9,140.1,138.0,106.3,67.3,18.4,110.5,136.5,74.3,43.6
